+----------------------+------------------------------------------------------------+-------------------------------------------------+--------------------------------+--------+
|          ID          |                            NAME                            |                     FAMILY                      |          PRODUCT IDS           | STATUS |
+----------------------+------------------------------------------------------------+-------------------------------------------------+--------------------------------+--------+
| fd800c7s2p483i648ifv | ubuntu-16-04-lts-v20240923                                 | ubuntu-1604-lts                                 | f2erq6hp9j4r8leept6g           | READY  |
| fd800get7gv0beer0atg | nat-instance-ubuntu-18-04-lts-v20240722                    | nat-instance-ubuntu                             | f2esldde7isehiguc6q5,          | READY  |
|                      |                                                            |                                                 | f2efv1qb83cucakillmk           |        |
| fd800k2iuhnlm5boaicr | bellsoft-axiom-jdk17-for-ubuntu-v20240314                  | bellsoft-axiom-jdk17-for-ubuntu                 | f2e3hkhup107uf4kgi4t,          | READY  |
|                      |                                                            |                                                 | f2epb404fuib1kf1hknu           |        |
| fd800n45ob5uggkrooi8 | debian-9-v20211213                                         | debian-9                                        | f2e2skin3siruagto51r           | READY  |
| fd800sb66pta0ik9o98f | opensuse-15-3-v20240617                                    | opensuse-15-3                                   | f2elmumi79ck698ko8lt           | READY  |
| fd801ck746q39kn0upe5 | opensuse-15-3-v20240108                                    | opensuse-15-3                                   | f2e8a0h8347bhbn6andv           | READY  |
| fd801d06bg23g3klnkhd | wordpress-v20230807                                        | wordpress                                       | f2e796fkgkjuiuk4pilm,          | READY  |
|                      |                                                            |                                                 | f2e3eaei7io34qcf9rgp           |        |
| fd801iv1gjj2mbvjolim | ubuntu-20-04-lts-gpu-a100-v20231130                        | ubuntu-2004-lts-a100                            | f2epo5ej9m8ktbjcep92           | READY  |
| fd801j7590ch7dmu5ma1 | nodejs-v20240101                                           | nodejslts                                       | f2er186ujpnfe6p9cjs1,          | READY  |
|                      |                                                            |                                                 | f2e8gaeg7d74vpiabc94           |        |
| fd801q59l6btk8ebeqrf | ipsec-instance-ubuntu-v20240115                            | ipsec-instance-ubuntu                           | f2ee1abap95qj1kiijnn,          | READY  |
|                      |                                                            |                                                 | f2ecclhr264ghvho4fgi           |        |
| fd801rku4j14mv7fs703 | debian-12-v20240506                                        | debian-12                                       | f2ensop16ipcgqe16qfg           | READY  |
| fd80293ig2816a78q276 | ubuntu-2404-lts-oslogin-v20240902                          | ubuntu-2404-lts-oslogin                         | f2ej6jinmkpf907qn4to           | READY  |
| fd802gjm0buuv4v35ev5 | wordpress-v20241017                                        | wordpress                                       | f2epkntv5sehb7cb4f01,          | READY  |
|                      |                                                            |                                                 | f2e05hprog04974cm0hu           |        |
| fd803574efskf64jq17g | atlas-biomed-1576590486                                    | atlas-biomed                                    | f2ej7cppkd0tgcgfv2if           | READY  |
| fd8038j4ibol8jj698c0 | wordpress-v20240812                                        | wordpress                                       | f2e9fjrnvfsb90edjn0n,          | READY  |
|                      |                                                            |                                                 | f2ecssa1440sdhra610s           |        |
| fd803lrp5ob4raaggfdk | lemp-v20211103                                             | lemp                                            | f2e2k33chv8tj53p8cbd,          | READY  |
